CpdClass1	CpdClass2	BioSim
GF-I-1	GF-I-2	0.715
GF-I-1	GF-I-2	0.665
GF-I-1	GF-I-2	0.677
GF-I-1	GF-I-2	0.658
GF-I-1	GF-I-2	0.702
GF-I-1	GF-I-2	0.558
GF-I-1	GF-I-2	0.684
GF-I-1	GF-I-2	0.628
GF-I-1	GF-I-2	0.756
GF-I-1	GF-I-2	0.614
GF-I-1	GF-I-2	0.749
GF-I-1	GF-I-2	0.693
GF-I-1	GF-I-2	0.655
GF-I-1	GF-I-2	0.785
GF-I-1	GF-I-2	0.622
GF-I-1	GF-I-2	0.728
GF-I-1	GF-I-2	0.589
GF-I-1	GF-I-2	0.641
GF-I-1	GF-I-2	0.721
GF-I-1	GF-I-2	0.775
GF-I-1	GF-I-2	0.574
GF-I-1	GF-I-2	0.787
GF-I-1	GF-I-2	0.763
GF-I-1	GF-I-2	0.742
GF-I-1	GF-I-2	0.791
GF-I-1	GF-I-2	0.723
GF-I-1	GF-I-2	0.774
GF-I-1	GF-I-2	0.659
GF-I-1	GF-I-2	0.644
GF-I-1	GF-I-2	0.737
GF-I-1	GF-I-2	0.835
GF-I-1	GF-I-2	0.508
GF-I-1	GF-I-2	0.778
GF-I-1	GF-I-2	0.566
GF-I-1	GF-I-2	0.539
GF-I-1	GF-I-2	0.7
GF-I-1	GF-I-2	0.638
GF-I-1	GF-I-2	0.579
GF-I-1	GF-I-2	0.585
GF-I-1	GF-I-2	0.703
GF-I-1	GF-I-2	0.644
GF-I-1	GF-I-2	0.708
GF-I-1	GF-I-2	0.844
GF-I-1	GF-I-2	0.765
GF-I-1	GF-I-2	0.337
GF-I-1	GF-I-2	0.3
GF-I-1	GF-I-2	0.455
GF-I-1	GF-I-2	0.234
GF-I-1	GF-I-2	0.398
GF-I-1	GF-I-2	0.18
GF-I-1	GF-I-2	0.284
GF-I-1	GF-I-2	0.644
GF-I-1	GF-I-2	0.606
GF-I-1	GF-I-2	0.621
GF-I-1	GF-I-2	0.48
GF-I-1	GF-I-2	0.726
GF-I-1	GF-I-2	0.708
GF-I-1	GF-I-2	0.767
GF-I-1	GF-I-2	0.666
GF-I-1	GF-I-2	0.673
GF-I-1	GF-I-2	0.665
GF-I-1	GF-I-2	0.728
GF-I-1	GF-I-2	0.695
GF-I-1	GF-I-2	0.778
GF-I-1	GF-I-2	0.759
GF-I-1	GF-I-2	0.858
GF-I-1	GF-I-2	0.493
GF-I-1	GF-I-2	0.488
GF-I-1	GF-I-2	0.613
GF-I-1	GF-I-2	0.691
GF-I-1	GF-I-2	0.664
GF-I-1	GF-I-2	0.534
GF-I-1	GF-I-2	0.55
GF-I-1	GF-I-2	0.621
GF-I-1	GF-I-2	0.604
GF-I-1	GF-I-2	0.489
GF-I-1	GF-I-2	0.478
GF-I-1	GF-I-2	0.77
GF-I-1	GF-I-2	0.794
GF-I-1	GF-I-2	0.835
GF-I-1	GF-I-2	0.693
GF-I-1	GF-I-2	0.657
GF-I-1	GF-I-2	0.853
GF-I-1	GF-I-2	0.864
GF-I-1	GF-I-2	0.571
GF-I-1	GF-I-2	0.647
GF-I-1	GF-I-2	0.626
GF-I-1	GF-I-2	0.888
GF-I-1	GF-I-2	0.703
GF-I-1	GF-I-2	0.671
GF-I-1	GF-I-2	0.758
GF-I-1	GF-I-2	0.766
GF-I-1	GF-I-2	0.723
GF-I-1	GF-I-2	0.636
GF-I-1	GF-I-2	0.726
GF-I-1	GF-I-2	0.601
GF-I-1	GF-I-2	0.681
GF-I-1	GF-I-2	0.747
GF-I-1	GF-I-2	0.692
GF-I-1	GF-I-2	0.689
GF-I-1	GF-I-2	0.624
GF-I-1	GF-I-2	0.712
GF-I-1	GF-I-2	0.6
GF-I-1	GF-I-2	0.676
GF-I-1	GF-I-2	0.581
GF-I-1	GF-I-2	0.601
GF-I-1	GF-I-2	0.807
GF-I-1	GF-I-2	0.843
GF-I-1	GF-I-2	0.56
GF-I-1	GF-I-2	0.755
GF-I-1	GF-I-2	0.784
GF-I-1	GF-I-2	0.849
GF-I-1	GF-I-2	0.781
GF-I-1	GF-I-2	0.896
GF-I-1	GF-I-2	0.761
GF-I-1	GF-I-2	0.816
GF-I-1	GF-I-2	0.776
GF-I-1	GF-I-2	0.48
GF-I-1	GF-I-2	0.516
GF-I-1	GF-I-2	0.476
GF-I-1	GF-I-2	0.645
GF-I-1	GF-I-2	0.761
GF-I-1	GF-I-2	0.684
GF-I-1	GF-I-2	0.773
GF-I-1	GF-I-2	0.663
GF-I-1	GF-I-2	0.781
GF-I-1	GF-I-2	0.608
GF-I-1	GF-I-2	0.629
GF-I-1	GF-I-2	0.822
GF-I-1	GF-I-2	0.892
GF-I-1	GF-I-2	0.503
GF-I-1	GF-I-2	0.767
GF-I-1	GF-I-2	0.699
GF-I-1	GF-I-2	0.659
GF-I-1	GF-I-2	0.785
GF-I-1	GF-I-2	0.722
GF-I-1	GF-I-2	0.727
GF-I-1	GF-I-2	0.615
GF-I-1	GF-I-2	0.695
GF-I-1	GF-I-2	0.803
GF-I-1	GF-I-2	0.882
GF-I-1	GF-I-2	0.766
GF-I-1	GF-I-2	0.789
GF-I-1	GF-THPI	0.513
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.677
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.438
GF-I-1	GF-THPI	0.047
GF-I-1	GF-THPI	0.511
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.735
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.609
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.489
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.608
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.566
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.428
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.71
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.541
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.27
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.579
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.479
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.528
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.707
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.5
GF-I-1	GF-THPI	0.015
GF-I-1	GF-THPI	0.611
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.838
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.666
GF-I-1	GF-THPI	0.023
GF-I-1	GF-THPI	0.639
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.841
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.752
GF-I-1	GF-THPI	0.0
