SMILES	Molecule Name	Error/Warning	NP class probability
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccc(OC)c(OC)c2O1)C3	64	None	0.97
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(C)ccc2O1)C3	65	None	0.97
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccc(C)cc2O1)C3	66	None	0.97
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(C)c(C)cc2O1)C3	67	None	0.97
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(F)ccc2O1)C3	68	None	0.31
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccc(N4CCCC4)cc2O1)C3	69	None	0.66
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(Cl)ccc2O1)C3	70	None	0.38
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(Br)ccc2O1)C3	71	None	0.44
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2c(ccc4ccccc24)O1)C3	72	None	0.95
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(Cl)c(C)cc2O1)C3	73	None	0.44
CCc1ccc2c(c1)C(=O)CC1(CCC3C4Cc5ccc(OC)c(O)c5C3(CCN4C)C1)O2	74	None	0.87
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(OCc4ccccc4)ccc2O1)C3	75	None	0.75
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccc4ccccc4c2O1)C3	76	None	0.95
COc1ccc2c3c1OC1c4[nH]c5ccccc5c4CC4C(C2)N(C)CCC314	77	None	0.83
COc1ccc2c3c1OC1c4[nH]c5ccc(C)cc5c4CC4C(C2)N(C)CCC314	78	None	0.87
COc1ccc2[nH]c3c(c2c1)CC1C2Cc4ccc(OC)c5c4C1(CCN2C)C3O5	79	None	0.9
COc1ccc2c3c1OC1c4[nH]c5c(C)cccc5c4CC4C(C2)N(C)CCC314	80	None	0.87
COc1ccc2c3c1OC1c4[nH]c5ccc(C(C)C)cc5c4CC4C(C2)N(C)CCC314	81	None	0.83
COc1ccc2c3c1OC1c4[nH]c5ccc(Cl)cc5c4CC4C(C2)N(C)CCC314	82	None	0.44
COc1ccc2c3c1OC1c4c(c5ccccc5n4-c4ccccc4)CC4C(C2)N(C)CCC314	83	None	0.39
COc1ccc2c3c1OC1c4[nH]c5c(C)c(C)ccc5c4CC4C(C2)N(C)CCC314	84	None	0.83
COc1ccc2c3c1OC1c4c(c5ccccc5n4Cc4ccccc4)CC4C(C2)N(C)CCC314	85	None	0.48
COc1ccc2c3c1OC1c4[nH]c5c(C)cc(C)cc5c4CC4C(C2)N(C)CCC314	86	None	0.87
COc1ccc2c3c1OC1c4[nH]c5c(Cl)ccc(Cl)c5c4CC4C(C2)N(C)CCC314	87	None	0.44
COc1ccc2c3c1OC1c4[nH]c5ccc(Oc6ccccc6)cc5c4CC4C(C2)N(C)CCC314	88	None	0.85
COc1ccc2c3c1OC1c4[nH]c5ccc6ccccc6c5c4CC4C(C2)N(C)CCC314	89	None	0.83
COc1ccc2c3c1OC1c4[nH]c5c(C)ccc(Cl)c5c4CC4C(C2)N(C)CCC314	90	None	0.46
COc1ccc2c3c1OC1c4[nH]c5c(F)ccc(Br)c5c4CC4C(C2)N(C)CCC314	91	None	0.41
COc1ccc2c3c1OC1c4[nH]c5ccc(F)cc5c4CC4C(C2)N(C)CCC314	92	None	0.38
COc1ccc2c3c1OC1c4[nH]c5c(ccc6ccccc65)c4CC4C(C2)N(C)CCC314	93	None	0.83
COc1ccc2c3c1OC1c4[nH]c5ccc(OCc6ccccc6)cc5c4CC4C(C2)N(C)CCC314	94	None	0.43
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccccc12)C3	95	None	0.86
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccc(C)cc12)C3	96	None	0.91
COc1ccc2[nH]c3c(c2c1)CC1C2Cc4ccc(OC)c(O)c4C1(CCN2C)C3	97	None	0.96
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2c(C)cccc12)C3	98	None	0.91
