	Chembl_Id
526	CHEMBL1078413
527	CHEMBL1078414
528	CHEMBL1078415
529	CHEMBL1078416
530	CHEMBL1078417
531	CHEMBL1078418
532	CHEMBL1078419
533	CHEMBL1078420
534	CHEMBL1078422
535	CHEMBL1078423
536	CHEMBL1078424
537	CHEMBL1078425
538	CHEMBL1078435
539	CHEMBL1078436
540	CHEMBL1078437
541	CHEMBL1078441
542	CHEMBL1078442
543	CHEMBL1078446
544	CHEMBL1078447
545	CHEMBL1078458
546	CHEMBL1078459
547	CHEMBL1078478
548	CHEMBL1078479
549	CHEMBL1078487
550	CHEMBL1078488
551	CHEMBL1078503
552	CHEMBL1078504
553	CHEMBL1078505
554	CHEMBL1078506
555	CHEMBL1078507
556	CHEMBL1078508
557	CHEMBL1078509
558	CHEMBL1078514
559	CHEMBL1078517
560	CHEMBL1078518
561	CHEMBL1078519
562	CHEMBL1078523
563	CHEMBL1078524
564	CHEMBL1078536
565	CHEMBL1078544
566	CHEMBL1078549
567	CHEMBL1078550
568	CHEMBL1078554
569	CHEMBL1078556
570	CHEMBL1078561
571	CHEMBL1078562
572	CHEMBL1078563
573	CHEMBL1078564
574	CHEMBL1078571
575	CHEMBL1078579
576	CHEMBL1078614
577	CHEMBL1078615
578	CHEMBL1078617
579	CHEMBL1078618
580	CHEMBL1078619
581	CHEMBL1078620
582	CHEMBL1078621
583	CHEMBL1078629
584	CHEMBL1078636
585	CHEMBL1078637
586	CHEMBL1078640
587	CHEMBL1078643
588	CHEMBL1078649
589	CHEMBL1078650
590	CHEMBL1078651
591	CHEMBL1078652
592	CHEMBL1078658
593	CHEMBL1078660
594	CHEMBL1078661
595	CHEMBL1078681
596	CHEMBL1078686
597	CHEMBL1078687
598	CHEMBL1078703
599	CHEMBL1078704
600	CHEMBL1078705
601	CHEMBL1078706
602	CHEMBL1078707
603	CHEMBL1078708
604	CHEMBL1078718
605	CHEMBL1078719
606	CHEMBL1078730
607	CHEMBL107874
608	CHEMBL1078744
609	CHEMBL1078748
610	CHEMBL1078766
611	CHEMBL1078768
612	CHEMBL1078786
613	CHEMBL1078787
614	CHEMBL1078788
615	CHEMBL1078791
616	CHEMBL1078792
617	CHEMBL1078800
618	CHEMBL1078801
619	CHEMBL1078811
620	CHEMBL1078812
621	CHEMBL1078813
622	CHEMBL1078814
623	CHEMBL1078815
624	CHEMBL1078816
625	CHEMBL1078829
626	CHEMBL1078838
627	CHEMBL1078839
628	CHEMBL1078842
629	CHEMBL1078843
630	CHEMBL1078844
631	CHEMBL1078845
632	CHEMBL1078884
633	CHEMBL1078907
634	CHEMBL1078908
635	CHEMBL1078909
636	CHEMBL1078910
637	CHEMBL1078911
638	CHEMBL1078912
639	CHEMBL1078913
640	CHEMBL1078914
641	CHEMBL1078915
642	CHEMBL1078916
643	CHEMBL1078917
644	CHEMBL1078918
645	CHEMBL1078921
646	CHEMBL1078928
647	CHEMBL1078935
648	CHEMBL1078962
649	CHEMBL1078969
650	CHEMBL1078977
651	CHEMBL1079016
652	CHEMBL1079029
653	CHEMBL1079030
654	CHEMBL1079031
655	CHEMBL1079033
656	CHEMBL1079034
657	CHEMBL1079035
658	CHEMBL1079037
659	CHEMBL1079038
660	CHEMBL1079039
661	CHEMBL1079041
662	CHEMBL1079060
663	CHEMBL1079119
664	CHEMBL1079124
665	CHEMBL1079125
666	CHEMBL1079126
667	CHEMBL1079127
668	CHEMBL1079128
669	CHEMBL1079129
670	CHEMBL1079130
671	CHEMBL1079131
672	CHEMBL1079136
673	CHEMBL1079137
674	CHEMBL1079138
675	CHEMBL1079143
676	CHEMBL1079147
677	CHEMBL1079151
678	CHEMBL1079153
679	CHEMBL1079158
680	CHEMBL1079193
681	CHEMBL1079194
682	CHEMBL1079200
683	CHEMBL1079202
684	CHEMBL1079203
685	CHEMBL1079215
686	CHEMBL1079224
687	CHEMBL1079225
688	CHEMBL1079226
689	CHEMBL1079227
690	CHEMBL1079231
691	CHEMBL1079242
692	CHEMBL1079259
693	CHEMBL1079273
694	CHEMBL1079285
695	CHEMBL1079286
696	CHEMBL1079287
697	CHEMBL1079288
698	CHEMBL1079303
699	CHEMBL1079304
700	CHEMBL1079305
701	CHEMBL1079307
702	CHEMBL1079330
703	CHEMBL1079353
704	CHEMBL1079356
705	CHEMBL1079357
706	CHEMBL1079358
707	CHEMBL1079359
708	CHEMBL1079363
709	CHEMBL1079364
710	CHEMBL1079367
711	CHEMBL1079368
712	CHEMBL1079369
713	CHEMBL1079378
714	CHEMBL1079401
715	CHEMBL1079457
716	CHEMBL1079458
717	CHEMBL1079459
718	CHEMBL1079485
719	CHEMBL1079490
720	CHEMBL1079496
721	CHEMBL1079508
722	CHEMBL1079509
723	CHEMBL1079510
724	CHEMBL1079511
725	CHEMBL1079527
726	CHEMBL1079530
727	CHEMBL1079531
728	CHEMBL1079532
729	CHEMBL1079533
730	CHEMBL1079539
731	CHEMBL1079540
732	CHEMBL1079542
733	CHEMBL1079546
734	CHEMBL1079551
735	CHEMBL1079563
736	CHEMBL1079568
737	CHEMBL1079573
738	CHEMBL1079592
739	CHEMBL1079606
740	CHEMBL1079607
741	CHEMBL1079619
742	CHEMBL1079638
743	CHEMBL1079643
744	CHEMBL1079644
745	CHEMBL1079645
746	CHEMBL1079670
747	CHEMBL1079671
748	CHEMBL1079672
749	CHEMBL1079673
750	CHEMBL1079678
751	CHEMBL1079679
752	CHEMBL1079685
753	CHEMBL1079695
754	CHEMBL1079706
755	CHEMBL1079707
756	CHEMBL1079708
757	CHEMBL1079709
758	CHEMBL1079710
759	CHEMBL1079711
760	CHEMBL1079714
761	CHEMBL1079715
762	CHEMBL1079720
763	CHEMBL1079721
764	CHEMBL1079723
765	CHEMBL1079724
766	CHEMBL1079727
767	CHEMBL1079774
768	CHEMBL1079775
769	CHEMBL1079776
770	CHEMBL1079777
771	CHEMBL1079779
772	CHEMBL1079780
773	CHEMBL1079791
774	CHEMBL1079792
775	CHEMBL1079815
776	CHEMBL1079827
777	CHEMBL1079828
778	CHEMBL1079829
779	CHEMBL1079839
780	CHEMBL1079840
781	CHEMBL1079841
782	CHEMBL1079842
783	CHEMBL1079851
784	CHEMBL1079852
785	CHEMBL1079853
786	CHEMBL1079881
787	CHEMBL1079882
788	CHEMBL1079883
789	CHEMBL1079887
790	CHEMBL1079895
791	CHEMBL1079901
792	CHEMBL1079947
793	CHEMBL1079948
794	CHEMBL1079949
795	CHEMBL1079956
796	CHEMBL1079959
797	CHEMBL1079995
798	CHEMBL1080
799	CHEMBL1080020
800	CHEMBL1080027
801	CHEMBL1080028
802	CHEMBL1080029
803	CHEMBL1080039
804	CHEMBL1080061
805	CHEMBL1080062
806	CHEMBL1080070
807	CHEMBL1080074
808	CHEMBL1080075
809	CHEMBL1080077
810	CHEMBL1080082
811	CHEMBL1080083
812	CHEMBL1080084
813	CHEMBL1080085
814	CHEMBL1080095
815	CHEMBL1080115
816	CHEMBL1080121
817	CHEMBL1080122
818	CHEMBL1080123
819	CHEMBL1080134
820	CHEMBL1080139
821	CHEMBL1080141
822	CHEMBL1080142
823	CHEMBL1080144
824	CHEMBL1080145
825	CHEMBL1080146
826	CHEMBL1080174
827	CHEMBL1080178
828	CHEMBL1080237
829	CHEMBL1080238
830	CHEMBL1080239
831	CHEMBL1080242
832	CHEMBL1080243
833	CHEMBL1080253
834	CHEMBL1080254
835	CHEMBL1080257
836	CHEMBL1080258
837	CHEMBL1080266
838	CHEMBL1080280
839	CHEMBL1080283
840	CHEMBL1080284
841	CHEMBL1080287
842	CHEMBL1080288
843	CHEMBL1080296
844	CHEMBL1080297
845	CHEMBL108030
846	CHEMBL1080308
847	CHEMBL1080313
848	CHEMBL1080328
849	CHEMBL1080347
850	CHEMBL1080348
851	CHEMBL1080351
852	CHEMBL1080352
853	CHEMBL1080354
854	CHEMBL1080370
855	CHEMBL1080371
856	CHEMBL1080415
857	CHEMBL1080416
858	CHEMBL1080420
859	CHEMBL1080422
860	CHEMBL1080423
861	CHEMBL1080424
862	CHEMBL1080425
863	CHEMBL1080432
864	CHEMBL1080433
865	CHEMBL1080441
866	CHEMBL1080442
867	CHEMBL1080456
868	CHEMBL1080457
869	CHEMBL1080458
870	CHEMBL1080459
871	CHEMBL1080467
872	CHEMBL1080471
873	CHEMBL1080480
874	CHEMBL1080486
875	CHEMBL1080487
876	CHEMBL1080536
877	CHEMBL1080598
878	CHEMBL1080599
879	CHEMBL1080600
880	CHEMBL1080608
881	CHEMBL1080614
882	CHEMBL1080632
883	CHEMBL1080657
884	CHEMBL1080658
885	CHEMBL1080659
886	CHEMBL1080661
887	CHEMBL1080662
888	CHEMBL1080696
889	CHEMBL1080697
890	CHEMBL1080698
891	CHEMBL1080701
892	CHEMBL1080702
893	CHEMBL1080703
894	CHEMBL1080768
895	CHEMBL1080769
896	CHEMBL1080770
897	CHEMBL1080777
898	CHEMBL1080778
899	CHEMBL1080779
900	CHEMBL1080792
901	CHEMBL1080793
902	CHEMBL1080795
903	CHEMBL1080796
904	CHEMBL1080797
905	CHEMBL1080798
906	CHEMBL1080799
907	CHEMBL1080830
908	CHEMBL1080831
909	CHEMBL1080835
910	CHEMBL1080836
911	CHEMBL1080837
912	CHEMBL1080838
913	CHEMBL1080839
914	CHEMBL108084
915	CHEMBL1080952
916	CHEMBL1080953
917	CHEMBL1080960
918	CHEMBL1080965
919	CHEMBL1080966
920	CHEMBL1080976
921	CHEMBL1080977
922	CHEMBL1080978
923	CHEMBL1080979
924	CHEMBL1080984
925	CHEMBL1080985
926	CHEMBL1081
927	CHEMBL1081011
928	CHEMBL1081055
929	CHEMBL1081114
930	CHEMBL1081151
